,joy_PC1,joy_PC2,joy_PC3,joy_PC4,joy_PC5,trust_PC1,trust_PC2,trust_PC3,trust_PC4,trust_PC5,fear_PC1,fear_PC2,fear_PC3,fear_PC4,fear_PC5,surprise_PC1,surprise_PC2,surprise_PC3,surprise_PC4,surprise_PC5,sadness_PC1,sadness_PC2,sadness_PC3,sadness_PC4,sadness_PC5,disgust_PC1,disgust_PC2,disgust_PC3,disgust_PC4,disgust_PC5,anger_PC1,anger_PC2,anger_PC3,anger_PC4,anger_PC5,anticipation_PC1,anticipation_PC2,anticipation_PC3,anticipation_PC4,anticipation_PC5
fear_PC1,-0.7630097599217405,0.19100180778826506,0.0007399974481333109,-0.3266986371096911,0.023078563470203275,0.8302149922703643,-0.024432822940933477,0.020340467618382076,0.13127378976108336,-0.08865937128788087,1.0000000000000002,6.071532165918825e-18,1.6046192152785466e-17,9.540979117872439e-18,-1.7780915628762273e-17,-0.6031210820141755,0.15617870129134592,-0.23499009620931244,-0.01806339425243366,-0.11819323086384272,-0.835009904506269,-0.19265631898146446,0.017762205367991658,0.05128377752395214,0.0064675536171434796,-0.8386646344237931,-0.05274600409627915,-0.030865533102244682,-0.10846050136883806,0.20056695876547326,-0.8275457690114498,-0.021666188675106505,0.021178077186970082,-0.09136912743978859,-0.22143485774388724,-0.6646459968416647,-0.4364181889692709,-0.08521416492198958,0.18535323945846666,-0.23350956366047007
fear_PC2,0.17343750322776055,0.6821462880080104,-0.10364615918093184,0.07472199825073654,0.12135322547264359,-0.06067556200915185,0.6293188859158259,-0.031261041153778646,-0.10972472055251462,-0.43237037426288194,6.071532165918825e-18,1.0000000000000002,-5.204170427930421e-18,3.2959746043559335e-17,8.673617379884035e-18,-0.48429281689849857,-0.19519642838283074,0.49575425483820085,-0.005166966359390059,-0.019134236529089126,-0.12838146127011377,0.8351372932656168,0.02594563803848626,0.02345965480804736,-0.15534064727337651,-0.03415678851584557,0.8405295474244291,-0.016082817674018896,-0.0675269408338172,-0.08606572007914573,-0.023481173117025862,0.8587388387140202,-0.06569762698430659,0.05287017043944838,-0.0390943454471332,-0.36694054976461965,0.5139503087510949,0.12573546109593653,0.18684086853943696,0.455738255444911
fear_PC3,-0.16153993994315852,0.2661093049227202,-0.2663000027873325,0.3597610069487179,-0.25538710330749115,0.20239144304651993,0.353271519907279,0.004059711465789918,0.25181133324105365,0.02105331570452283,1.6046192152785466e-17,-5.204170427930421e-18,1.0,2.393918396847994e-16,-3.165870343657673e-17,-0.09610626308150488,-0.17940328502384947,0.39439039932669523,-0.21307602706721082,-0.04762500713801796,-0.1814099312558513,0.2936812225278352,0.03414859356598826,0.34422013725791356,0.5115650696244615,-0.222717247027693,0.1308333850511094,-0.07923088710117056,-0.004430218637722782,-0.6199295886696246,-0.1547366159660796,0.18640939344254967,-0.1385974104186255,0.09238833757172506,0.5959513328504422,-0.18480341551868226,0.4015275907236185,-0.2678723011874568,0.4005708825232061,-0.08352800294666023
fear_PC4,0.1487168413370107,0.053036442694928854,0.6979307539081614,-0.022137212384494936,-0.0735965895451053,-0.04610316273200333,-0.09199232712851399,0.740574971337985,-0.25541578297515743,-0.028670314677388297,9.540979117872439e-18,3.2959746043559335e-17,2.393918396847994e-16,1.0000000000000002,6.666488108070245e-17,0.13475976580474383,0.5062826914484632,0.17706317739599076,-0.14128776273081423,-0.36843184042688676,0.10188441206418837,0.025918694175099996,0.8287221149851425,-0.2096537873335596,-0.00287090386702369,0.06509480672114558,0.06751860900646327,0.7907886630514589,0.20396478468038728,0.06377205045295557,0.18321594811130693,0.1759184524302918,0.7625103562644049,-0.089972799685861,-0.12057029602845873,0.07731852045428227,-0.07719437103863523,-0.5907751244167198,-0.3192295031594242,0.4616690087022429
fear_PC5,-0.06962186049728046,0.15502858773495565,0.3639059506231502,0.13896949404331213,-0.09153952773226832,-0.048512876394920135,0.04157187980436232,0.39748807491972976,0.10705123721551882,0.01844631398961238,-1.7780915628762273e-17,8.673617379884035e-18,-3.165870343657673e-17,6.666488108070245e-17,1.0,-0.051105961526348165,0.3530092603052076,-0.015952884507995285,-0.08568089981807672,-0.11000778133845757,-0.1601491405384481,-0.012181709962869169,0.2292121165470882,-0.415744163586206,0.2191982893355654,-0.14522962608263976,-0.027066926720626175,0.19473236126047985,0.4561487952605739,-0.002252141133000103,-0.10815786135100405,-0.07704072008393159,0.30671542290358417,0.2970932206283053,0.11019257861958186,-0.17377736070227098,-0.09456107128129339,0.014074227732961471,-0.29889929574109536,0.23210924895850488
surprise_PC1,0.5570529123391884,-0.5931403039816305,0.07591116180542214,0.04549805248466386,-0.013176553088876658,-0.5972259113042417,-0.5079842958826664,0.09233091398986108,0.07565954144635505,0.17539062276025266,-0.6031210820141755,-0.48429281689849857,-0.09610626308150488,0.13475976580474383,-0.051105961526348165,1.0,6.071532165918825e-17,-1.3877787807814457e-17,-2.699663409488906e-17,9.540979117872439e-18,0.7425534628715882,-0.39203481040499877,0.08669971597904419,0.04194493181942894,0.1454896792025062,0.6727823945440282,-0.488064085500417,0.13341490202896328,0.039944565002453164,-0.07921361412702159,0.6742643139291463,-0.4468632495495354,0.0751938261102444,-0.21251084518158367,0.18824906339786238,0.7219390169003402,0.05288199595381072,-0.07332433856522329,-0.28305085104132033,-0.13291208233535345
surprise_PC2,-0.2629062494144999,-0.12355989453080106,0.637788235377552,0.17767816734549668,0.20701290634652098,0.20287226738445752,-0.22821600040193044,0.5003850999244447,-0.2827516136905776,-0.028224414852160234,0.15617870129134592,-0.19519642838283074,-0.17940328502384947,0.5062826914484632,0.3530092603052076,6.071532165918825e-17,1.0000000000000002,2.0816681711721685e-17,3.122502256758253e-17,-2.0816681711721685e-17,-0.15924645537997395,-0.2065667154687648,0.4943895571718868,-0.40465259948417,-0.07437736439568328,-0.19355406863410238,-0.13008255366964233,0.5713930222841912,0.3145066098028808,0.12941542769074454,-0.14314080606885252,-0.14913993515317317,0.6398886415441026,0.1377938273011098,-0.048059163675895765,0.009268451782697636,-0.48642672551155397,-0.2846721954230347,-0.11865012587354383,0.43131814885138425
surprise_PC3,0.21494948565955027,0.44958249426970937,-0.01244052977868261,0.3717446081970764,0.14090144318549994,-0.14855939725556222,0.4721140367320209,0.12094181537052187,0.0741456512792468,-0.406513354959714,-0.23499009620931244,0.49575425483820085,0.39439039932669523,0.17706317739599076,-0.015952884507995285,-1.3877787807814457e-17,2.0816681711721685e-17,1.0,-2.983724378680108e-16,-2.42861286636753e-17,0.0708588176064544,0.6552419882315859,0.2435079081607973,0.31692367008407835,0.14135790464222428,0.08454186803704843,0.5935433722254025,0.17670898528775808,-0.03878519148821464,-0.45084996402474226,0.11262101034778836,0.6224466511110689,0.12034303350902034,-0.04732489574955231,0.5644967759128465,-0.13346603514935534,0.5029905816032796,-0.1887560004633679,0.25457164328147536,0.4235013386168299
surprise_PC4,-0.19619421786015115,-0.369584846610922,0.007589685404038585,0.12623172064367413,0.019891982873952323,0.12282878615722273,-0.24089535426473843,-0.13116042180370577,-0.04700738737882563,-0.07426736794525832,-0.01806339425243366,-0.005166966359390059,-0.21307602706721082,-0.14128776273081423,-0.08568089981807672,-2.699663409488906e-17,3.122502256758253e-17,-2.983724378680108e-16,1.0,-1.3617579286417936e-16,0.07099297492093236,-0.13172185114270374,-0.14215073367834954,0.03085462172095701,-0.1597780481030376,0.0603468660523437,-0.09327727958770092,-0.03369975530694138,-0.06549398597504183,0.16610958155891964,0.0719404726986543,-0.05453713294228559,-0.0707294260348918,-0.39693901829221684,-0.11167761159822663,0.19472603706263703,-0.24239102006649144,0.09119193716315305,0.2949322199383873,0.021920635050393086
surprise_PC5,-0.025493516726514353,0.08370735046988487,-0.20723124851164845,0.23629920336210328,0.096173210099012,-0.08349584423440923,0.25302631473632353,-0.2549596852811066,0.016061603093239826,0.11637178107607542,-0.11819323086384272,-0.019134236529089126,-0.04762500713801796,-0.36843184042688676,-0.11000778133845757,9.540979117872439e-18,-2.0816681711721685e-17,-2.42861286636753e-17,-1.3617579286417936e-16,1.0,-0.03516375834655288,0.05834366422214704,-0.4351066113629308,-0.07600378125866594,-0.08979690382514541,0.049135857535072616,0.11119840738585013,-0.3492036362170165,0.01083520944667027,0.02165308905912575,-0.006141181547610563,-0.019753875949374503,-0.28264809599997154,0.32456928817615127,-0.03356720987858601,-0.08588656665487454,0.005554031376076964,0.39733204007581413,0.02309634381974591,-0.08909901213075087
sadness_PC1,0.8305480049051105,-0.40382495011846786,-0.03246950651411379,0.1227655025243826,0.010341199673206628,-0.8544099383076873,-0.24924031397436003,-0.05271643566847289,-0.1173604174869508,0.07380882541380708,-0.835009904506269,-0.12838146127011377,-0.1814099312558513,0.10188441206418837,-0.1601491405384481,0.7425534628715882,-0.15924645537997395,0.0708588176064544,0.07099297492093236,-0.03516375834655288,1.0,4.380176776841438e-17,-3.550762114890027e-17,-1.5178830414797062e-17,7.48099499014998e-18,0.9220525739327351,-0.13119574124105185,0.04506046984296321,0.01987955099114616,-0.0627003428116086,0.9073588583874321,-0.11983778321012431,-0.04860023787646747,-0.10066184505552925,0.07477589237326661,0.804621543866415,0.3251253201580071,0.06303673000888058,-0.25251800297870797,0.09990645900287928
sadness_PC2,0.27301560652636786,0.7311751402598001,-0.17286383039723718,0.297037860338404,0.0512007990995229,-0.20899170330567002,0.7628118664383361,-0.017277186378572847,-0.018941998331147857,-0.38138209829399755,-0.19265631898146446,0.8351372932656168,0.2936812225278352,0.025918694175099996,-0.012181709962869169,-0.39203481040499877,-0.2065667154687648,0.6552419882315859,-0.13172185114270374,0.05834366422214704,4.380176776841438e-17,0.9999999999999997,1.3877787807814457e-17,-1.9081958235744878e-17,3.469446951953614e-18,0.08083952506721545,0.8904324711549685,-0.06312600690785403,0.018577964851772554,-0.30824396378738356,0.08523680132304787,0.8654912051395115,-0.11627903247434208,0.24302354821484878,0.19848945419378633,-0.2655259155881201,0.6687391623253801,0.03621747098118786,0.23632719756912218,0.4680648142499474
sadness_PC3,0.06529267147026256,0.11223301078859003,0.7757462737748062,-0.05102112199974031,-0.07520398069885374,0.017065702949007715,-0.08391275051048228,0.772025856375856,-0.33821751749420054,-0.17126418474178007,0.017762205367991658,0.02594563803848626,0.03414859356598826,0.8287221149851425,0.2292121165470882,0.08669971597904419,0.4943895571718868,0.2435079081607973,-0.14215073367834954,-0.4351066113629308,-3.550762114890027e-17,1.3877787807814457e-17,1.0,5.650861722994449e-16,2.862293735361732e-17,-0.05505691922848451,0.07901901479261343,0.9069758592499673,0.11990028190557044,0.012410816709350701,0.06107800157197636,0.1430448796095819,0.8793707071384053,-0.07223793992612368,0.04398788192166922,-0.07319061392442963,-0.11313005219636586,-0.5663059015005807,-0.3243799485608115,0.48426691683043865
sadness_PC4,-0.07165284256990503,0.004291413812471907,-0.37598685720435143,-0.09958723588617921,0.06067549570166948,0.15864143713726622,0.002694979023626925,-0.37429582023568597,-0.0035507769993858036,-0.2099102647505634,0.05128377752395214,0.02345965480804736,0.34422013725791356,-0.2096537873335596,-0.415744163586206,0.04194493181942894,-0.40465259948417,0.31692367008407835,0.03085462172095701,-0.07600378125866594,-1.5178830414797062e-17,-1.9081958235744878e-17,5.650861722994449e-16,0.9999999999999999,-4.9439619065339e-16,-0.07125978718249952,0.02494209840676902,-0.08908392521728334,-0.6098632030716172,-0.311765347418578,-0.08933777958380176,0.057648864028428996,-0.21853729573068978,-0.36712929320779947,0.48032360197026236,-0.10200909682450371,0.13925437599111828,0.03175095027070692,0.34333561057079937,-0.19562325027212457
sadness_PC5,0.04809129167034938,0.012304947317849183,-0.20728043223596118,0.23205859200329493,-0.3714651062484538,-0.024027868676663483,0.06249809147424325,0.1584989322992667,0.5955229716329817,0.08558257944266792,0.0064675536171434796,-0.15534064727337651,0.5115650696244615,-0.00287090386702369,0.2191982893355654,0.1454896792025062,-0.07437736439568328,0.14135790464222428,-0.1597780481030376,-0.08979690382514541,7.48099499014998e-18,3.469446951953614e-18,2.862293735361732e-17,-4.9439619065339e-16,1.0000000000000002,-0.10066105069958287,-0.20263690492535572,-0.17522620000225314,0.43482283592660353,-0.5562160414942128,0.024663229956800387,-0.09075396465822444,-0.18525543035103842,0.09356434234158252,0.35716296705554673,-0.03843858276410694,0.21999608584807542,-0.103046753215048,0.03432745859446817,-0.21060925049469714
disgust_PC1,0.8730889472010611,-0.2975293513320784,-0.02427158857857525,0.11627646394653438,0.07173496855649411,-0.8858370409963008,-0.13285430791006841,-0.06688348664240716,-0.1276661321685374,0.05126693251088746,-0.8386646344237931,-0.03415678851584557,-0.222717247027693,0.06509480672114558,-0.14522962608263976,0.6727823945440282,-0.19355406863410238,0.08454186803704843,0.0603468660523437,0.049135857535072616,0.9220525739327351,0.08083952506721545,-0.05505691922848451,-0.07125978718249952,-0.10066105069958287,1.0000000000000002,-6.071532165918825e-18,-1.5178830414797062e-17,-8.782037597132586e-18,2.42861286636753e-17,0.9498926204793189,-0.030519575504792257,-0.07671397744296954,0.002140015841404686,0.005501857972957378,0.7215932139932788,0.3541697838851514,0.1380588092700936,-0.25771563355811283,0.15558909092419484
disgust_PC2,0.19486140018137094,0.7570690617978997,-0.013956211009973709,0.20031143406512578,0.14155449072349988,-0.0856717777500094,0.7688934130514572,0.009775398048820673,-0.19325108846792902,-0.38692092155845653,-0.05274600409627915,0.8405295474244291,0.1308333850511094,0.06751860900646327,-0.027066926720626175,-0.488064085500417,-0.13008255366964233,0.5935433722254025,-0.09327727958770092,0.11119840738585013,-0.13119574124105185,0.8904324711549685,0.07901901479261343,0.02494209840676902,-0.20263690492535572,-6.071532165918825e-18,1.0,-2.7755575615628914e-17,2.0816681711721685e-17,2.6020852139652106e-18,-0.005886572692447605,0.9119825750956136,-0.006254619519052054,0.23686280630693796,0.004770162425498655,-0.38217974263075205,0.5065919509052504,0.07174871571325017,0.1752684511022873,0.5332694275910537
disgust_PC3,0.009723830885990981,-0.0005397494395942056,0.792583491271929,-0.019876552144911835,0.03847802199584048,0.004325818457567205,-0.1971217528362427,0.7304566614535448,-0.4188999118414711,-0.17287973130557943,-0.030865533102244682,-0.016082817674018896,-0.07923088710117056,0.7907886630514589,0.19473236126047985,0.13341490202896328,0.5713930222841912,0.17670898528775808,-0.03369975530694138,-0.3492036362170165,0.04506046984296321,-0.06312600690785403,0.9069758592499673,-0.08908392521728334,-0.17522620000225314,-1.5178830414797062e-17,-2.7755575615628914e-17,1.0,1.6266420719071584e-16,-2.194425197110661e-16,0.08613705440046071,0.0743929243705222,0.9331399283576076,-0.17898669826540028,0.051321751674151365,0.04327019904856871,-0.2120123367459974,-0.5233091411882427,-0.2909591098565819,0.49150441378700843
disgust_PC4,0.13040494371246625,0.013792453299993472,0.33387193249685654,0.3616753459235762,-0.16519288571114613,-0.1305114321444465,0.100772540219761,0.43562012301429376,0.21054917233095263,0.14295082721504804,-0.10846050136883806,-0.0675269408338172,-0.004430218637722782,0.20396478468038728,0.4561487952605739,0.039944565002453164,0.3145066098028808,-0.03878519148821464,-0.06549398597504183,0.01083520944667027,0.01987955099114616,0.018577964851772554,0.11990028190557044,-0.6098632030716172,0.43482283592660353,-8.782037597132586e-18,2.0816681711721685e-17,1.6266420719071584e-16,1.0,3.3241638608405566e-16,0.1301945532465739,0.023827355493826502,0.13381528934249462,0.37081793187106393,-0.19090601005861338,0.02464639625752406,-0.0058151422683662465,-0.09364054406190506,-0.23546822576814455,0.23716035828819965
disgust_PC5,-0.0389544045926791,-0.16787754684183234,0.3040505507673612,-0.37138986228907844,-0.013662587835555216,0.0561977430543393,-0.1899271943654766,0.00902214555735775,-0.3793367694758406,0.20125496561406603,0.20056695876547326,-0.08606572007914573,-0.6199295886696246,0.06377205045295557,-0.002252141133000103,-0.07921361412702159,0.12941542769074454,-0.45084996402474226,0.16610958155891964,0.02165308905912575,-0.0627003428116086,-0.30824396378738356,0.012410816709350701,-0.311765347418578,-0.5562160414942128,2.42861286636753e-17,2.6020852139652106e-18,-2.194425197110661e-16,3.3241638608405566e-16,1.0000000000000002,-0.058494111559298824,-0.1604628328612808,0.1464630508529962,0.022196802442610384,-0.7413608552892893,-0.01206449723656601,-0.33554114074703284,0.13196121775705916,-0.337863384925102,-0.014061388283856365
anger_PC1,0.8744929908155168,-0.2747861980795555,0.053503853237730825,0.14195467795227118,-0.013887984940876846,-0.8567257938279985,-0.12943708289242187,0.06439495708543362,-0.10876798720115148,0.033689269590210374,-0.8275457690114498,-0.023481173117025862,-0.1547366159660796,0.18321594811130693,-0.10815786135100405,0.6742643139291463,-0.14314080606885252,0.11262101034778836,0.0719404726986543,-0.006141181547610563,0.9073588583874321,0.08523680132304787,0.06107800157197636,-0.08933777958380176,0.024663229956800387,0.9498926204793189,-0.005886572692447605,0.08613705440046071,0.1301945532465739,-0.058494111559298824,0.9999999999999999,2.233456475320139e-17,-5.312590645178972e-18,-6.071532165918825e-18,1.1275702593849246e-17,0.7121031177439561,0.3570498196736238,0.08644847946725079,-0.2665733323022547,0.22721601647604284
anger_PC2,0.17729522943448017,0.6964891715449396,-0.02923331236709401,0.2219279468454209,0.145455037224121,-0.045393421969406295,0.667991380586495,0.06494730404711725,-0.08839969745090054,-0.4128409965534418,-0.021666188675106505,0.8587388387140202,0.18640939344254967,0.1759184524302918,-0.07704072008393159,-0.4468632495495354,-0.14913993515317317,0.6224466511110689,-0.05453713294228559,-0.019753875949374503,-0.11983778321012431,0.8654912051395115,0.1430448796095819,0.057648864028428996,-0.09075396465822444,-0.030519575504792257,0.9119825750956136,0.0743929243705222,0.023827355493826502,-0.1604628328612808,2.233456475320139e-17,1.0,0.0,-2.7755575615628914e-17,-5.204170427930421e-18,-0.34163071327353906,0.5203765248779955,-0.021679895301043976,0.2119128786124329,0.5383390794364455
