emotion,local_pc,attr,n,rho_raw,rho_partial_intensity_and_judgeEI,abs_drop_ratio_vs_raw,sign_stable
anticipation,PC2,valence,108,-0.12817028675089776,-0.0832989661821487,0.3500914424569996,True
anticipation,PC2,arousal,108,-0.3514806293898468,-0.330982888474547,0.05831826621820639,True
anticipation,PC2,dominance,108,-0.056399151031502864,-0.014441089328998194,0.7439484626119313,True
anticipation,PC2,emotional_intensity,108,-0.27805351670408046,,,False
anticipation,PC2,threat,108,0.008731160315088535,0.02286387468014285,-1.6186524877605581,True
anticipation,PC2,social_warmth,108,-0.01894221913884285,0.04051916323760378,-1.1390927293473931,False
anticipation,PC2,certainty,108,-0.14122701555838352,-0.1296452684467658,0.08200801430112925,True
anticipation,PC2,agency,108,-0.01221368754247565,0.010884342883054558,0.10884056553747738,False
anticipation,PC2,blame,108,-0.0017985994975853693,-0.006498737903780463,-2.61322123824957,True
anticipation,PC2,injustice,108,-0.049267886369257954,-0.010774241344248585,0.7813130999065657,True
anticipation,PC2,relief,108,0.23896873900331136,0.2599195038455547,-0.08767157130938788,True
anticipation,PC2,gratitude,108,-0.0013480590683330512,0.031118839437906012,-22.084180930132508,False
anticipation,PC2,loneliness,108,0.12531740238976813,0.1453927101774973,-0.16019569034227185,True
anticipation,PC2,disappointment,108,0.19785206704310912,0.2019948604216257,-0.020938843047891585,True
anticipation,PC2,uncertainty,108,0.11330426081597564,0.11297760311202759,0.002883013415343589,True
anticipation,PC2,hope,108,-0.08460253174712197,0.007700150538687178,0.9089843958605988,False
anticipation,PC2,surprise_valence,108,0.0038598962801799697,0.05638382490235991,-13.607601036298048,True
anticipation,PC3,valence,108,-0.11620560303138143,-0.1915205441804017,-0.6481179838521333,True
anticipation,PC3,arousal,108,0.12290194528784303,0.05815419857503792,0.5268244254487785,True
anticipation,PC3,dominance,108,-0.05852842754533412,-0.12301816558281943,-1.101853248791517,True
anticipation,PC3,emotional_intensity,108,0.07934378904628163,,,False
anticipation,PC3,threat,108,0.1406771889646489,0.1769282287250566,-0.25768953749507534,True
