layer,e1,e2,cos_orig,cos_resid
16,disgust,trust,0.980915904045105,-0.5254684090614319
16,disgust,fear,0.993022620677948,0.1902356594800949
16,disgust,surprise,0.9866746664047241,-0.08587950468063354
16,disgust,sadness,0.9959006309509277,0.45773762464523315
16,disgust,disgust,1.0000001192092896,1.0
16,disgust,anger,0.9978303909301758,0.7913712859153748
16,disgust,anticipation,0.9839315414428711,-0.6971140503883362
16,anger,joy,0.9790645837783813,-0.6203606128692627
16,anger,trust,0.9775295257568359,-0.5994360446929932
16,anger,fear,0.9910737872123718,0.11044315993785858
16,anger,surprise,0.9864035248756409,0.008925003930926323
16,anger,sadness,0.9931846261024475,0.2439243495464325
16,anger,disgust,0.9978303909301758,0.7913712859153748
16,anger,anger,1.0,1.0
16,anger,anticipation,0.9828416705131531,-0.57646644115448
16,anticipation,joy,0.9917958974838257,0.34435465931892395
16,anticipation,trust,0.9910403490066528,0.35232260823249817
16,anticipation,fear,0.9909427762031555,0.04540908336639404
16,anticipation,surprise,0.9825520515441895,-0.3313072621822357
16,anticipation,sadness,0.9891051054000854,-0.3127209544181824
16,anticipation,disgust,0.9839315414428711,-0.6971140503883362
16,anticipation,anger,0.9828416705131531,-0.57646644115448
16,anticipation,anticipation,1.0,0.9999999403953552
19,joy,joy,1.0,1.0000001192092896
19,joy,trust,0.9946881532669067,0.5850933194160461
19,joy,fear,0.9866008162498474,-0.554759681224823
19,joy,surprise,0.9870426058769226,-0.07766794413328171
19,joy,sadness,0.9885618686676025,-0.4690907597541809
19,joy,disgust,0.9853261709213257,-0.6717187166213989
19,joy,anger,0.9826564192771912,-0.6211349368095398
19,joy,anticipation,0.9934179782867432,0.3190983235836029
19,trust,joy,0.9946881532669067,0.5850933194160461
19,trust,trust,1.000000238418579,1.0
19,trust,fear,0.9866349101066589,-0.3205913007259369
19,trust,surprise,0.9807834625244141,-0.41369497776031494
19,trust,sadness,0.9864722490310669,-0.4754844903945923
19,trust,disgust,0.9844878315925598,-0.5172694325447083
19,trust,anger,0.9804203510284424,-0.602982223033905
19,trust,anticipation,0.992213249206543,0.31609076261520386
19,fear,joy,0.9866008162498474,-0.554759681224823
19,fear,trust,0.9866349101066589,-0.3205913007259369
19,fear,fear,0.9999999403953552,1.0
19,fear,surprise,0.9880686402320862,-0.24840906262397766
19,fear,sadness,0.9960558414459229,0.301609069108963
19,fear,disgust,0.9943144917488098,0.12932607531547546
19,fear,anger,0.9920932054519653,0.05404991656541824
19,fear,anticipation,0.9933838844299316,0.0885489359498024
19,surprise,joy,0.9870426058769226,-0.07766794413328171
19,surprise,trust,0.9807834625244141,-0.41369497776031494
19,surprise,fear,0.9880686402320862,-0.24840906262397766
19,surprise,surprise,0.9999998807907104,1.0
19,surprise,sadness,0.9900749921798706,-0.1255010962486267
19,surprise,disgust,0.9898402690887451,-0.035608336329460144
19,surprise,anger,0.9889942407608032,0.05462903156876564
19,surprise,anticipation,0.9859944581985474,-0.3365761637687683
19,sadness,joy,0.9885618686676025,-0.4690907597541809
19,sadness,trust,0.9864722490310669,-0.4754844903945923
19,sadness,fear,0.9960558414459229,0.301609069108963
19,sadness,surprise,0.9900749921798706,-0.1255010962486267
19,sadness,sadness,1.0,1.0
19,sadness,disgust,0.996415376663208,0.3847222924232483
19,sadness,anger,0.9934854507446289,0.15280622243881226
19,sadness,anticipation,0.9920642375946045,-0.2270285189151764
19,disgust,joy,0.9853261709213257,-0.6717187166213989
19,disgust,trust,0.9844878315925598,-0.5172694325447083
19,disgust,fear,0.9943144917488098,0.12932607531547546
19,disgust,surprise,0.9898402690887451,-0.035608336329460144
19,disgust,sadness,0.996415376663208,0.3847222924232483
19,disgust,disgust,1.0,1.0
19,disgust,anger,0.9981162548065186,0.7968870997428894
19,disgust,anticipation,0.9874094724655151,-0.7027396559715271
19,anger,joy,0.9826564192771912,-0.6211349368095398
19,anger,trust,0.9804203510284424,-0.602982223033905
19,anger,fear,0.9920932054519653,0.05404991656541824
19,anger,surprise,0.9889942407608032,0.05462903156876564
19,anger,sadness,0.9934854507446289,0.15280622243881226
19,anger,disgust,0.9981162548065186,0.7968870997428894
19,anger,anger,1.0,0.9999998211860657
19,anger,anticipation,0.9856430292129517,-0.5606590509414673
19,anticipation,joy,0.9934179782867432,0.3190983235836029
19,anticipation,trust,0.992213249206543,0.31609076261520386
19,anticipation,fear,0.9933838844299316,0.0885489359498024
19,anticipation,surprise,0.9859944581985474,-0.3365761637687683
19,anticipation,sadness,0.9920642375946045,-0.2270285189151764
19,anticipation,disgust,0.9874094724655151,-0.7027396559715271
19,anticipation,anger,0.9856430292129517,-0.5606590509414673
19,anticipation,anticipation,0.9999998807907104,1.0000001192092896
22,joy,joy,1.000000238418579,0.9999999403953552
22,joy,trust,0.995863139629364,0.5772325992584229
22,joy,fear,0.990243673324585,-0.5646135210990906
22,joy,surprise,0.9901653528213501,-0.08318372815847397
22,joy,sadness,0.9917538166046143,-0.42925381660461426
22,joy,disgust,0.9891009330749512,-0.6579957008361816
22,joy,anger,0.9870508313179016,-0.6151651740074158
22,joy,anticipation,0.9950054287910461,0.2955068349838257
22,trust,joy,0.995863139629364,0.5772325992584229
22,trust,trust,1.000000238418579,1.0
22,trust,fear,0.9897900223731995,-0.33908170461654663
22,trust,surprise,0.9845231771469116,-0.46665212512016296
22,trust,sadness,0.9897966384887695,-0.44303926825523376
22,trust,disgust,0.9882497191429138,-0.4809003472328186
22,trust,anger,0.985251247882843,-0.5618512630462646
22,trust,anticipation,0.9939004778862,0.29898950457572937
22,fear,joy,0.990243673324585,-0.5646135210990906
22,fear,trust,0.9897900223731995,-0.33908170461654663
22,fear,fear,0.9999998807907104,1.0
22,fear,surprise,0.991395890712738,-0.19947700202465057
22,fear,sadness,0.9971732497215271,0.30878138542175293
22,fear,disgust,0.9957759976387024,0.12388594448566437
22,fear,anger,0.994073212146759,0.04527554661035538
22,fear,anticipation,0.9953050017356873,0.10335106402635574
22,surprise,joy,0.9901653528213501,-0.08318372815847397
22,surprise,trust,0.9845231771469116,-0.46665212512016296
22,surprise,fear,0.991395890712738,-0.19947700202465057
22,surprise,surprise,1.0000001192092896,0.9999999403953552
22,surprise,sadness,0.9924965500831604,-0.11041755974292755
22,surprise,disgust,0.9921813607215881,-0.03412991017103195
22,surprise,anger,0.9915099740028381,0.05145716667175293
22,surprise,anticipation,0.9894713163375854,-0.32969680428504944
22,sadness,joy,0.9917538166046143,-0.42925381660461426
22,sadness,trust,0.9897966384887695,-0.44303926825523376
22,sadness,fear,0.9971732497215271,0.30878138542175293
22,sadness,surprise,0.9924965500831604,-0.11041755974292755
22,sadness,sadness,1.0000001192092896,0.9999998807907104
22,sadness,disgust,0.996832549571991,0.28266412019729614
22,sadness,anger,0.9946025609970093,0.06909388303756714
22,sadness,anticipation,0.9945313334465027,-0.1431320458650589
22,disgust,joy,0.9891009330749512,-0.6579957008361816
22,disgust,trust,0.9882497191429138,-0.4809003472328186
22,disgust,fear,0.9957759976387024,0.12388594448566437
22,disgust,surprise,0.9921813607215881,-0.03412991017103195
22,disgust,sadness,0.996832549571991,0.28266412019729614
22,disgust,disgust,1.0000001192092896,0.9999998807907104
22,disgust,anger,0.998568594455719,0.7982037663459778
22,disgust,anticipation,0.9905628561973572,-0.7050013542175293
22,anger,joy,0.9870508313179016,-0.6151651740074158
22,anger,trust,0.985251247882843,-0.5618512630462646
22,anger,fear,0.994073212146759,0.04527554661035538
22,anger,surprise,0.9915099740028381,0.05145716667175293
22,anger,sadness,0.9946025609970093,0.06909388303756714
22,anger,disgust,0.998568594455719,0.7982037663459778
22,anger,anger,1.0000001192092896,1.0000001192092896
22,anger,anticipation,0.9892148971557617,-0.5647554397583008
22,anticipation,joy,0.9950054287910461,0.2955068349838257
22,anticipation,trust,0.9939004778862,0.29898950457572937
22,anticipation,fear,0.9953050017356873,0.10335106402635574
22,anticipation,surprise,0.9894713163375854,-0.32969680428504944
22,anticipation,sadness,0.9945313334465027,-0.1431320458650589
22,anticipation,disgust,0.9905628561973572,-0.7050013542175293
22,anticipation,anger,0.9892148971557617,-0.5647554397583008
22,anticipation,anticipation,1.0,0.9999998807907104
