target_emotion,steering_mode,alpha_g,alpha_r,n_rows,mean_text_length_chars,mean_text_length_words,mean_repetition_rate
disgust,completion_tokens,5.0,3.0,3,270.3333333333333,50.333333333333336,0.2248917748917749
disgust,completion_tokens,5.0,5.0,3,234.33333333333334,50.0,0.48246709978344166
disgust,last_token,-5.0,-5.0,3,361.0,72.33333333333333,0.24413494405638947
disgust,last_token,-5.0,-3.0,3,366.6666666666667,68.0,0.2197363465160075
disgust,last_token,-5.0,-1.5,3,358.3333333333333,65.33333333333333,0.20645158145158146
disgust,last_token,-5.0,1.5,3,379.6666666666667,75.66666666666667,0.24600373482726426
disgust,last_token,-5.0,3.0,3,372.6666666666667,69.0,0.20306384540117417
disgust,last_token,-5.0,5.0,3,300.6666666666667,60.0,0.3399873557768294
disgust,last_token,-3.0,-5.0,3,362.0,72.33333333333333,0.26486370043599
disgust,last_token,-3.0,-3.0,3,331.3333333333333,62.666666666666664,0.23470839260312945
disgust,last_token,-3.0,-1.5,3,365.3333333333333,67.0,0.17886427257243856
disgust,last_token,-3.0,1.5,3,294.3333333333333,57.333333333333336,0.16141414141414143
disgust,last_token,-3.0,3.0,3,364.0,67.33333333333333,0.23446944481427237
disgust,last_token,-3.0,5.0,3,374.6666666666667,70.33333333333333,0.24078683662016998
disgust,last_token,3.0,-5.0,3,287.0,52.666666666666664,0.16113199665831246
disgust,last_token,3.0,-3.0,3,277.0,52.333333333333336,0.13103281853281853
disgust,last_token,3.0,-1.5,3,325.0,63.0,0.2201306923529146
disgust,last_token,3.0,1.5,3,263.6666666666667,49.0,0.1603174603174603
disgust,last_token,3.0,3.0,3,316.0,58.333333333333336,0.20500380517503802
disgust,last_token,3.0,5.0,3,336.0,63.666666666666664,0.2523322174398215
disgust,last_token,5.0,-5.0,3,189.0,31.333333333333332,0.15367965367965367
disgust,last_token,5.0,-3.0,3,169.0,28.333333333333332,0.1363577863577864
disgust,last_token,5.0,-1.5,3,242.0,42.0,0.14530423280423285
disgust,last_token,5.0,1.5,3,215.33333333333334,40.333333333333336,0.16171878436029374
disgust,last_token,5.0,3.0,3,174.33333333333334,33.666666666666664,0.22236798515868283
disgust,last_token,5.0,5.0,3,202.66666666666666,39.333333333333336,0.3651945956846139
fear,completion_tokens,-5.0,-5.0,3,423.0,80.33333333333333,0.2721141851447138
fear,completion_tokens,-5.0,-3.0,3,418.6666666666667,81.33333333333333,0.29059368068135466
fear,completion_tokens,-5.0,-1.5,3,372.6666666666667,72.0,0.2673140620295092
fear,completion_tokens,-5.0,1.5,3,350.6666666666667,69.0,0.2049276440476823
fear,completion_tokens,-5.0,3.0,3,358.3333333333333,71.66666666666667,0.23239962651727356
fear,completion_tokens,-5.0,5.0,3,350.3333333333333,68.66666666666667,0.2600995442036464
fear,completion_tokens,-3.0,-5.0,3,362.6666666666667,71.0,0.269950308089843
fear,completion_tokens,-3.0,-3.0,3,371.0,73.66666666666667,0.2827013521457966
fear,completion_tokens,-3.0,-1.5,3,351.0,64.66666666666667,0.1936953464196172
fear,completion_tokens,-3.0,1.5,3,369.3333333333333,68.0,0.18807736978468684
fear,completion_tokens,-3.0,3.0,3,373.0,72.66666666666667,0.20727124183006537
fear,completion_tokens,-3.0,5.0,3,329.0,65.66666666666667,0.1991537703587782
fear,completion_tokens,3.0,-5.0,3,304.3333333333333,57.666666666666664,0.22022209674383586
fear,completion_tokens,3.0,-3.0,3,259.3333333333333,46.333333333333336,0.15413279132791327
fear,completion_tokens,3.0,-1.5,3,300.3333333333333,56.333333333333336,0.1938629450706745
fear,completion_tokens,3.0,1.5,3,284.0,51.333333333333336,0.15581098339719032
fear,completion_tokens,3.0,3.0,3,263.0,48.333333333333336,0.12302371541501977
fear,completion_tokens,3.0,5.0,3,202.66666666666666,38.666666666666664,0.12040793328825787
fear,completion_tokens,5.0,-5.0,3,190.33333333333334,34.0,0.20088452590945113
fear,completion_tokens,5.0,-3.0,3,196.33333333333334,33.666666666666664,0.14669738863287252
fear,completion_tokens,5.0,-1.5,3,212.66666666666666,38.0,0.1866241285596124
fear,completion_tokens,5.0,1.5,3,225.66666666666666,40.0,0.11361808236808235
fear,completion_tokens,5.0,3.0,3,241.66666666666666,44.0,0.1434874252124164
fear,completion_tokens,5.0,5.0,3,229.66666666666666,40.666666666666664,0.1430798299480397
fear,last_token,-5.0,-5.0,3,374.6666666666667,75.33333333333333,0.30440024110910185
fear,last_token,-5.0,-3.0,3,332.3333333333333,62.666666666666664,0.20288671023965144
fear,last_token,-5.0,-1.5,3,366.0,67.33333333333333,0.2250597371565113
fear,last_token,-5.0,1.5,3,361.0,71.0,0.2689594356261023
fear,last_token,-5.0,3.0,3,375.0,73.33333333333333,0.2667225878607992
fear,last_token,-5.0,5.0,3,332.6666666666667,61.666666666666664,0.18746682996529904
fear,last_token,-3.0,-5.0,3,372.3333333333333,71.0,0.2586954621299369
fear,last_token,-3.0,-3.0,3,348.0,65.66666666666667,0.21700742397415587
fear,last_token,-3.0,-1.5,3,371.0,68.66666666666667,0.20388470060871558
fear,last_token,-3.0,1.5,3,375.0,72.0,0.2274114774114774
fear,last_token,-3.0,3.0,3,361.6666666666667,68.0,0.21130952380952384
fear,last_token,-3.0,5.0,3,300.6666666666667,61.0,0.17019427578242027
fear,last_token,3.0,-5.0,3,275.3333333333333,50.0,0.16777809876899866
fear,last_token,3.0,-3.0,3,297.3333333333333,54.666666666666664,0.15250685303170633
fear,last_token,3.0,-1.5,3,305.3333333333333,57.666666666666664,0.19473251028806582
fear,last_token,3.0,1.5,3,314.3333333333333,57.666666666666664,0.15189594356261024
fear,last_token,3.0,3.0,3,242.0,45.333333333333336,0.13077770183033344
fear,last_token,3.0,5.0,3,256.6666666666667,48.0,0.17985409652076323
fear,last_token,5.0,-5.0,3,223.0,39.333333333333336,0.18731268731268727
fear,last_token,5.0,-3.0,3,185.0,31.0,0.19063524746434835
fear,last_token,5.0,-1.5,3,218.33333333333334,39.0,0.1500219587176109
fear,last_token,5.0,1.5,3,194.33333333333334,35.666666666666664,0.11516881342701013
fear,last_token,5.0,3.0,3,215.0,40.333333333333336,0.13352272727272727
fear,last_token,5.0,5.0,3,138.0,25.0,0.0940124504810413
joy,completion_tokens,-5.0,-5.0,3,421.0,81.66666666666667,0.2613718225789853
joy,completion_tokens,-5.0,-3.0,3,344.3333333333333,68.33333333333333,0.20576981246218995
joy,completion_tokens,-5.0,-1.5,3,337.0,69.33333333333333,0.26275275112484414
joy,completion_tokens,-5.0,1.5,3,372.3333333333333,74.0,0.22188761626151224
joy,completion_tokens,-5.0,3.0,3,401.6666666666667,79.66666666666667,0.2559205500381971
joy,completion_tokens,-5.0,5.0,3,415.6666666666667,82.33333333333333,0.3440877570540411
joy,completion_tokens,-3.0,-5.0,3,356.6666666666667,70.33333333333333,0.2505522088353414
joy,completion_tokens,-3.0,-3.0,3,378.0,72.33333333333333,0.22723577235772355
joy,completion_tokens,-3.0,-1.5,3,377.3333333333333,72.66666666666667,0.2033250350689458
joy,completion_tokens,-3.0,1.5,3,352.6666666666667,65.66666666666667,0.21919084885546858
joy,completion_tokens,-3.0,3.0,3,371.3333333333333,71.0,0.23304855786783496
joy,completion_tokens,-3.0,5.0,3,353.6666666666667,67.66666666666667,0.2459349593495935
joy,completion_tokens,3.0,-5.0,3,231.0,43.666666666666664,0.19517868906455862
joy,completion_tokens,3.0,-3.0,3,342.3333333333333,64.0,0.19632621733078356
joy,completion_tokens,3.0,-1.5,3,337.0,64.33333333333333,0.22065489199992125
joy,completion_tokens,3.0,1.5,3,280.0,51.333333333333336,0.17402084525372197
joy,completion_tokens,3.0,3.0,3,290.0,53.666666666666664,0.17772847817217463
joy,completion_tokens,3.0,5.0,3,282.0,53.666666666666664,0.17533643892339545
joy,completion_tokens,5.0,-5.0,3,173.66666666666666,33.666666666666664,0.3329070758738278
joy,completion_tokens,5.0,-3.0,3,211.66666666666666,41.333333333333336,0.21056763285024158
joy,completion_tokens,5.0,-1.5,3,187.0,33.333333333333336,0.08303321328531414
joy,completion_tokens,5.0,1.5,3,249.33333333333334,48.0,0.2057636337297354
joy,completion_tokens,5.0,3.0,3,271.6666666666667,49.666666666666664,0.1797169811320755
joy,completion_tokens,5.0,5.0,3,225.33333333333334,43.0,0.1443435791261878
joy,last_token,-5.0,-5.0,3,365.6666666666667,69.66666666666667,0.28714168714168714
joy,last_token,-5.0,-3.0,3,392.0,72.66666666666667,0.27522819472616633
joy,last_token,-5.0,-1.5,3,353.6666666666667,65.66666666666667,0.23050095117311353
joy,last_token,-5.0,1.5,3,310.0,63.333333333333336,0.24814814814814815
joy,last_token,-5.0,3.0,3,335.3333333333333,65.66666666666667,0.26825396825396824
joy,last_token,-5.0,5.0,3,372.3333333333333,74.0,0.45776039197091833
joy,last_token,-3.0,-5.0,3,325.0,63.666666666666664,0.30490079365079364
joy,last_token,-3.0,-3.0,3,376.0,71.33333333333333,0.21986442676097848
joy,last_token,-3.0,-1.5,3,389.0,72.66666666666667,0.19922644163150494
joy,last_token,-3.0,1.5,3,402.6666666666667,75.0,0.21729423616216068
joy,last_token,-3.0,3.0,3,383.6666666666667,75.33333333333333,0.22763228522191148
joy,last_token,-3.0,5.0,3,328.6666666666667,68.66666666666667,0.2712313685636856
joy,last_token,3.0,-5.0,3,320.3333333333333,59.666666666666664,0.24203733005157055
joy,last_token,3.0,-3.0,3,291.6666666666667,55.333333333333336,0.16084558823529413
joy,last_token,3.0,-1.5,3,338.3333333333333,64.33333333333333,0.2165396656624727
joy,last_token,3.0,1.5,3,306.3333333333333,56.666666666666664,0.19370416493704165
joy,last_token,3.0,3.0,3,304.0,55.666666666666664,0.18785702557188907
joy,last_token,3.0,5.0,3,280.3333333333333,54.0,0.21830381105743424
joy,last_token,5.0,-5.0,3,179.0,34.0,0.2041740938799762
joy,last_token,5.0,-3.0,3,189.33333333333334,33.333333333333336,0.1585483074844777
joy,last_token,5.0,-1.5,3,180.33333333333334,33.333333333333336,0.11701606982625008
joy,last_token,5.0,1.5,3,202.0,36.0,0.12340357598978291
joy,last_token,5.0,3.0,3,201.33333333333334,34.666666666666664,0.16991789819376027
joy,last_token,5.0,5.0,3,242.33333333333334,45.333333333333336,0.16561192378185843
sadness,completion_tokens,-5.0,-5.0,3,390.6666666666667,79.0,0.30282921810699587
sadness,completion_tokens,-5.0,-3.0,3,398.6666666666667,77.0,0.24677197948329663
sadness,completion_tokens,-5.0,-1.5,3,345.0,65.66666666666667,0.20286195286195283
sadness,completion_tokens,-5.0,1.5,3,366.6666666666667,72.0,0.22779862414008756
sadness,completion_tokens,-5.0,3.0,3,390.3333333333333,76.66666666666667,0.2889425265596618
sadness,completion_tokens,-5.0,5.0,3,400.3333333333333,78.0,0.32837085451464537
sadness,completion_tokens,-3.0,-5.0,3,368.0,66.66666666666667,0.21675842509175847
sadness,completion_tokens,-3.0,-3.0,3,339.6666666666667,63.0,0.19896678367287002
sadness,completion_tokens,-3.0,-1.5,3,388.6666666666667,73.33333333333333,0.2324463118580766
sadness,completion_tokens,-3.0,1.5,3,388.0,74.66666666666667,0.2347776769509982
sadness,completion_tokens,-3.0,3.0,3,391.6666666666667,73.33333333333333,0.20138888888888892
sadness,completion_tokens,-3.0,5.0,3,381.0,76.0,0.26066109135002763
sadness,completion_tokens,3.0,-5.0,3,250.0,45.0,0.16554464703132307
sadness,completion_tokens,3.0,-3.0,3,297.3333333333333,56.0,0.19499605988967691
sadness,completion_tokens,3.0,-1.5,3,300.6666666666667,54.666666666666664,0.17206966692092548
sadness,completion_tokens,3.0,1.5,3,290.0,53.0,0.14274068639439144
sadness,completion_tokens,3.0,3.0,3,296.3333333333333,59.333333333333336,0.23556998556998557
sadness,completion_tokens,3.0,5.0,3,232.0,44.333333333333336,0.14089250922356256
sadness,completion_tokens,5.0,-5.0,3,162.33333333333334,29.333333333333332,0.12160737812911726
